Year,Neigh,Num
2003,Bayview Hunters Point,6056
2003,Bernal Heights,1981
2003,Castro/Upper Market,2345
2003,Chinatown,1261
2003,Excelsior,1750
2003,Financial District/South Beach,5546
2003,Glen Park,441
2003,Golden Gate Park,750
2003,Haight Ashbury,1525
2003,Hayes Valley,2120
2003,Inner Richmond,1079
2003,Inner Sunset,1033
2003,Japantown,484
2003,Lakeshore,1041
2003,Lincoln Park,29
2003,Lone Mountain/USF,1142
2003,Marina,1716
2003,McLaren Park,154
2003,Mission,11300
2003,Mission Bay,677
2003,Nob Hill,2946
2003,Noe Valley,1024
2003,North Beach,1808
2003,Oceanview/Merced/Ingleside,1431
2003,Outer Mission,1497
2003,Outer Richmond,1584
2003,Pacific Heights,1629
2003,Portola,1011
2003,Potrero Hill,1746
2003,Presidio,41
2003,Presidio Heights,519
2003,Russian Hill,1096
2003,Seacliff,63
2003,South of Market,9677
2003,Sunset/Parkside,2402
2003,Tenderloin,10458
2003,Treasure Island,194
2003,Twin Peaks,344
2003,Visitacion Valley,1296
2003,West of Twin Peaks,1756
2003,Western Addition,3437
2004,Bayview Hunters Point,6227
2004,Bernal Heights,2086
2004,Castro/Upper Market,2293
2004,Chinatown,1270
2004,Excelsior,1734
2004,Financial District/South Beach,5037
2004,Glen Park,451
2004,Golden Gate Park,660
2004,Haight Ashbury,1649
2004,Hayes Valley,2245
2004,Inner Richmond,1107
2004,Inner Sunset,1121
2004,Japantown,435
2004,Lakeshore,971
2004,Lincoln Park,19
2004,Lone Mountain/USF,1067
2004,Marina,1665
2004,McLaren Park,122
2004,Mission,10960
2004,Mission Bay,669
2004,Nob Hill,3049
2004,Noe Valley,1071
2004,North Beach,1833
2004,Oceanview/Merced/Ingleside,1513
2004,Outer Mission,1403
2004,Outer Richmond,1756
2004,Pacific Heights,1604
2004,Portola,1037
2004,Potrero Hill,1715
2004,Presidio,41
2004,Presidio Heights,487
2004,Russian Hill,1139
2004,Seacliff,68
2004,South of Market,9435
2004,Sunset/Parkside,2769
2004,Tenderloin,10296
2004,Treasure Island,198
2004,Twin Peaks,376
2004,Visitacion Valley,1318
2004,West of Twin Peaks,1771
2004,Western Addition,3143
2005,Bayview Hunters Point,5624
2005,Bernal Heights,1865
2005,Castro/Upper Market,2223
2005,Chinatown,1246
2005,Excelsior,1708
2005,Financial District/South Beach,4710
2005,Glen Park,419
2005,Golden Gate Park,558
2005,Haight Ashbury,1608
2005,Hayes Valley,2256
2005,Inner Richmond,978
2005,Inner Sunset,1098
2005,Japantown,496
2005,Lakeshore,931
2005,Lincoln Park,20
2005,Lone Mountain/USF,1105
2005,Marina,1702
2005,McLaren Park,122
2005,Mission,10134
2005,Mission Bay,636
2005,Nob Hill,2828
2005,Noe Valley,1020
2005,North Beach,1790
2005,Oceanview/Merced/Ingleside,1464
2005,Outer Mission,1497
2005,Outer Richmond,1448
2005,Pacific Heights,1844
2005,Portola,1060
2005,Potrero Hill,1737
2005,Presidio,44
2005,Presidio Heights,546
2005,Russian Hill,1137
2005,Seacliff,59
2005,South of Market,9300
2005,Sunset/Parkside,2868
2005,Tenderloin,9626
2005,Treasure Island,129
2005,Twin Peaks,331
2005,Visitacion Valley,1120
2005,West of Twin Peaks,1721
2005,Western Addition,3085
2006,Bayview Hunters Point,5751
2006,Bernal Heights,1746
2006,Castro/Upper Market,2162
2006,Chinatown,1170
2006,Excelsior,1561
2006,Financial District/South Beach,4697
2006,Glen Park,457
2006,Golden Gate Park,668
2006,Haight Ashbury,1521
2006,Hayes Valley,2308
2006,Inner Richmond,893
2006,Inner Sunset,944
2006,Japantown,419
2006,Lakeshore,771
2006,Lincoln Park,10
2006,Lone Mountain/USF,1085
2006,Marina,1588
2006,McLaren Park,160
2006,Mission,9723
2006,Mission Bay,518
2006,Nob Hill,2638
2006,Noe Valley,870
2006,North Beach,1865
2006,Oceanview/Merced/Ingleside,1363
2006,Outer Mission,1330
2006,Outer Richmond,1235
2006,Pacific Heights,1572
2006,Portola,873
2006,Potrero Hill,1287
2006,Presidio,36
2006,Presidio Heights,466
2006,Russian Hill,1112
2006,Seacliff,45
2006,South of Market,9294
2006,Sunset/Parkside,2337
2006,Tenderloin,9878
2006,Treasure Island,150
2006,Twin Peaks,270
2006,Visitacion Valley,1164
2006,West of Twin Peaks,1808
2006,Western Addition,3482
2007,Bayview Hunters Point,5500
2007,Bernal Heights,1787
2007,Castro/Upper Market,1963
2007,Chinatown,1256
2007,Excelsior,1653
2007,Financial District/South Beach,4662
2007,Glen Park,369
2007,Golden Gate Park,846
2007,Haight Ashbury,1496
2007,Hayes Valley,1910
2007,Inner Richmond,931
2007,Inner Sunset,889
2007,Japantown,384
2007,Lakeshore,754
2007,Lincoln Park,14
2007,Lone Mountain/USF,923
2007,Marina,1521
2007,McLaren Park,140
2007,Mission,9819
2007,Mission Bay,610
2007,Nob Hill,2490
2007,Noe Valley,694
2007,North Beach,1869
2007,Oceanview/Merced/Ingleside,1265
2007,Outer Mission,1312
2007,Outer Richmond,1260
2007,Pacific Heights,1403
2007,Portola,904
2007,Potrero Hill,1323
2007,Presidio,43
2007,Presidio Heights,422
2007,Russian Hill,1071
2007,Seacliff,44
2007,South of Market,9615
2007,Sunset/Parkside,2255
2007,Tenderloin,11774
2007,Treasure Island,164
2007,Twin Peaks,221
2007,Visitacion Valley,1316
2007,West of Twin Peaks,1508
2007,Western Addition,2664
2008,Bayview Hunters Point,5453
2008,Bernal Heights,1694
2008,Castro/Upper Market,2008
2008,Chinatown,1305
2008,Excelsior,1667
2008,Financial District/South Beach,4975
2008,Glen Park,362
2008,Golden Gate Park,780
2008,Haight Ashbury,1431
2008,Hayes Valley,1749
2008,Inner Richmond,908
2008,Inner Sunset,1065
2008,Japantown,338
2008,Lakeshore,854
2008,Lincoln Park,20
