MonthYear,All,One,Two,,
1/2011,"2,451","2,176","2,611",,
2/2011,"2,563","2,201","2,768",,
3/2011,"2,535","2,216","2,714",,
4/2011,"2,519","2,197","2,759",,
5/2011,"2,594","2,112","2,923",,
6/2011,"2,534","2,044","2,856",,
7/2011,"2,426","2,014","2,811",,
8/2011,"2,563","2,328","3,125",,
9/2011,"2,840","2,593","3,575",,
10/2011,"3,055","2,709","3,880",,
11/2011,"3,174","2,840","3,915",,
12/2011,"3,066","2,745","3,784",,
1/2012,"3,103","2,789","3,793",,
2/2012,"3,098","2,874","3,738",,
3/2012,"2,777","2,649","3,281",,
4/2012,"3,109","2,835","3,792",,
5/2012,"3,010","2,872","3,661",,
6/2012,"2,940","2,716","3,685",,
7/2012,"3,074","2,819","3,666",,
8/2012,"3,141","2,881","3,642",,
9/2012,"3,112","2,818","3,602",,
10/2012,"3,094","2,816","3,641",,
11/2012,"3,047","2,735","3,593",,
12/2012,"2,898","2,661","3,394",,
1/2013,"2,978","2,676","3,621",,
2/2013,"2,934","2,723","3,585",,
3/2013,"3,159","2,878","3,937",,
4/2013,"3,178","2,955","3,967",,
5/2013,"3,264","2,957","4,071",,
6/2013,"3,429","3,222","4,265",,
7/2013,"3,407","3,081","4,226",,
8/2013,"3,415","2,900","4,152",,
9/2013,"3,356","2,903","4,085",,
10/2013,"3,398","3,000","4,197",,
11/2013,"3,384","2,936","4,191",,
12/2013,"3,431","2,944","4,099",,
1/2014,"3,358","2,957","3,983",,
2/2014,"3,407","3,045","4,045",,
3/2014,"3,378","2,996","4,024",,
4/2014,"3,362","3,027","4,106",,
5/2014,"3,399","3,090","4,298",,
6/2014,"3,418","3,134","4,287",,
7/2014,"3,524","3,180","4,338",,
8/2014,"3,532","3,183","4,345",,
9/2014,"3,485","3,164","4,324",,
10/2014,"3,458","3,207","4,307",,
11/2014,"3,553","3,218","4,456",,
12/2014,"3,577","3,232","4,442",,
1/2015,"3,582","3,285","4,567",,
2/2015,"3,464","3,246","4,504",,
3/2015,"3,691","3,343","4,537",,
4/2015,"3,652","3,348","4,377",,
5/2015,"3,697","3,370","4,419",,
6/2015,"3,847","3,411","4,566",,
7/2015,"3,829","3,448","4,687",,
8/2015,"3,815","3,491","4,720",,
9/2015,"3,769","3,483","4,663",,
10/2015,"3,852","3,449","4,650",,
11/2015,"3,798","3,425","4,568",,
12/2015,"3,754","3,410","4,544",,
1/2016,"3,772","3,451","4,556",,
2/2016,"3,814","3,448","4,610",,
3/2016,"3,842","3,434","4,646",,
4/2016,"4,040","3,544","4,840",,
5/2016,"4,003","3,540","4,790",,
6/2016,"3,907","3,490","4,754",,
7/2016,"3,907","3,448","4,756",,
8/2016,"3,866","3,367","4,683",,
9/2016,"3,825","3,382","4,621",,
10/2016,"3,799","3,373","4,576",,
11/2016,"3,716","3,336","4,469",,
12/2016,"3,768","3,357","4,487",,
1/2017,"3,871","3,407","4,631",,
2/2017,"3,809","3,368","4,597",,
3/2017,"3,728","3,364","4,535",,
4/2017,"3,703","3,363","4,539",,
5/2017,"3,739","3,448","4,571",,
6/2017,"3,803","3,500","4,637",,
7/2017,"3,828","3,491","4,669",,
8/2017,"3,737","3,402","4,611",,
9/2017,"3,684","3,398","4,555",,
10/2017,"3,671","3,377","4,519",,
11/2017,"3,615","3,354","4,451",,
12/2017,"3,624","3,372","4,446",,
1/2018,"3,670","3,405","4,492",,
2/2018,"3,600","3,341","4,423",,
3/2018,"3,558","3,281","4,431",,
4/2018,"3,552","3,262","4,453",,
5/2018,"3,621","3,295","4,484",,
6/2018,"3,697","3,334","4,509",,
7/2018,"3,738","3,340","4,602",,
8/2018,"3,754","3,363","4,567",,
9/2018,"3,735","3,334","4,552",,
10/2018,"3,694","3,303","4,481",,
11/2018,"3,677","3,294","4,460",,
12/2018,"3,693","3,304","4,494",,
1/2019,"3,772","3,412","4,553",,
2/2019,"3,787","3,402","4,494",,
3/2019,"3,811","3,448","4,542",,
4/2019,"3,933","3,600","4,690",,
10/2019,"3,870","3,601","4,713",,
11/2019,"3,780","3,513","4,597",,
12/2019,"3,807","3,468","4,610",,
1/2020,"3,783","3,438","4,520",,
3/2020,"3,758","3,446","4,498",,
4/2020,"3,767","3,411","4,483",,
5/2020,"3,788","3,422","4,514",,
6/2020,"3,715","3,384","4,417",,
7/2020,"3,585","3,327","4,328",,
8/2020,"3,357","3,074","4,037",,
9/2020,"3,143","2,940","3,824",,
10/2020,"3,188","2,946","3,885",,
