Year,Neighborhood,Category,Count
2003,Bayview Hunters Point,ASSAULT,787
2003,Bayview Hunters Point,LARCENY/THEFT,555
2003,Bayview Hunters Point,OTHER OFFENSES,1336
2003,Bayview Hunters Point,VEHICLE THEFT,693
2003,Bayview Hunters Point,WARRANTS,419
2004,Bayview Hunters Point,ASSAULT,720
2004,Bayview Hunters Point,DRUG/NARCOTIC,577
2004,Bayview Hunters Point,LARCENY/THEFT,460
2004,Bayview Hunters Point,OTHER OFFENSES,1280
2004,Bayview Hunters Point,VEHICLE THEFT,729
2005,Bayview Hunters Point,ASSAULT,591
2005,Bayview Hunters Point,DRUG/NARCOTIC,382
2005,Bayview Hunters Point,LARCENY/THEFT,468
2005,Bayview Hunters Point,OTHER OFFENSES,1082
2005,Bayview Hunters Point,VEHICLE THEFT,745
2006,Bayview Hunters Point,ASSAULT,685
2006,Bayview Hunters Point,DRUG/NARCOTIC,434
2006,Bayview Hunters Point,LARCENY/THEFT,462
2006,Bayview Hunters Point,OTHER OFFENSES,1221
2006,Bayview Hunters Point,VANDALISM,349
2007,Bayview Hunters Point,ASSAULT,656
2007,Bayview Hunters Point,DRUG/NARCOTIC,370
2007,Bayview Hunters Point,LARCENY/THEFT,452
2007,Bayview Hunters Point,OTHER OFFENSES,1131
2007,Bayview Hunters Point,VANDALISM,383
2008,Bayview Hunters Point,ASSAULT,656
2008,Bayview Hunters Point,LARCENY/THEFT,448
2008,Bayview Hunters Point,NON-CRIMINAL,303
2008,Bayview Hunters Point,OTHER OFFENSES,1246
2008,Bayview Hunters Point,VANDALISM,428
2009,Bayview Hunters Point,ASSAULT,717
2009,Bayview Hunters Point,DRUG/NARCOTIC,355
2009,Bayview Hunters Point,LARCENY/THEFT,434
2009,Bayview Hunters Point,OTHER OFFENSES,1382
2009,Bayview Hunters Point,VANDALISM,406
2010,Bayview Hunters Point,ASSAULT,677
2010,Bayview Hunters Point,LARCENY/THEFT,431
2010,Bayview Hunters Point,MISSING PERSON,320
2010,Bayview Hunters Point,OTHER OFFENSES,1204
2010,Bayview Hunters Point,VANDALISM,381
2011,Bayview Hunters Point,ASSAULT,769
2011,Bayview Hunters Point,LARCENY/THEFT,452
2011,Bayview Hunters Point,NON-CRIMINAL,365
2011,Bayview Hunters Point,OTHER OFFENSES,1231
2011,Bayview Hunters Point,SUSPICIOUS OCC,358
2012,Bayview Hunters Point,ASSAULT,697
2012,Bayview Hunters Point,DRUG/NARCOTIC,349
2012,Bayview Hunters Point,LARCENY/THEFT,509
2012,Bayview Hunters Point,NON-CRIMINAL,504
2012,Bayview Hunters Point,OTHER OFFENSES,1233
2013,Bayview Hunters Point,ASSAULT,725
2013,Bayview Hunters Point,LARCENY/THEFT,581
